seed,class_name,n,mean_divergence,sd_divergence
69,DNA,117175,227.88860251760187,62.903392655595766
69,LINE,312884,231.06407166873345,85.38143099053214
69,LTR,139127,205.7767866769211,71.61333511174632
69,RC,486,271.26748971193416,42.88560787530306
69,Retroposon,1592,165.36306532663318,95.56888038025996
69,SINE,430969,178.15967273748228,85.19764590613394
70,DNA,118308,228.3894073097339,63.0225475405901
70,LINE,314606,232.01736457664506,84.98729333798401
70,LTR,138865,205.75861448169084,71.41139597640716
70,RC,489,271.74233128834356,42.56594868205255
70,Retroposon,1755,166.5054131054131,96.01844165986792
70,SINE,430819,178.10915488871197,85.4156929026305
71,DNA,118231,228.36333956407373,62.57476394782054
71,LINE,314169,231.68807870922976,84.95746481059058
71,LTR,139571,205.6908240250482,71.72743958986534
71,RC,476,274.5693277310924,38.71042875642219
71,Retroposon,1712,163.87091121495328,95.69968136653156
71,SINE,431212,178.0170217897461,85.35689571588831
72,DNA,118189,227.74869911751517,62.628311502255755
72,LINE,314931,231.70382718754266,84.96497367969047
72,LTR,140067,205.33876644748585,71.388182958858
72,RC,470,275.6276595744681,37.810047083809025
72,Retroposon,1613,165.69621822690638,98.33708222330436
72,SINE,430280,177.74430603328065,85.48325037137114
73,DNA,118292,227.8202245291313,62.64038566126282
73,LINE,314271,231.88934391019217,84.72709117783197
73,LTR,138827,205.90704257817282,71.53389201704657
73,RC,526,273.9068441064639,42.011369893238374
73,Retroposon,1703,169.9336465061656,94.73264757604731
73,SINE,430629,177.76740767574873,85.08402356302967
74,DNA,117641,228.19449001623585,62.788565235906994
74,LINE,314284,231.59617416094997,84.95852775885834
74,LTR,138923,205.85882107354433,71.54618360532264
74,RC,459,276.91938997821353,41.85742002270146
74,Retroposon,1659,165.80409885473176,95.30858903655911
74,SINE,430109,177.7884582745304,85.40339907921494
75,DNA,118270,227.8168174515938,62.8957269158836
75,LINE,312903,232.0057110350492,84.84304433762611
75,LTR,138653,205.43318211650669,71.52836982998268
75,RC,467,270.06852248394006,42.27973042079457
75,Retroposon,1630,161.9398773006135,92.59930868037355
75,SINE,430655,177.60280270750368,85.31246064792008
76,DNA,118687,228.3870769334468,63.07770956944463
76,LINE,313537,231.95690460774964,84.98886574462574
76,LTR,138728,205.74637419987315,71.57651421746178
76,RC,519,276.2774566473988,41.99215557175156
76,Retroposon,1653,160.1058681185723,96.2158243725899
76,SINE,429677,177.462177403026,85.31255532811251
77,DNA,118197,228.25811145798963,62.87566340742452
77,LINE,315097,231.68649971278685,84.96282773254686
77,LTR,138499,205.85482205647693,71.76246395513517
77,RC,476,275.1995798319328,45.958924845264846
77,Retroposon,1666,158.85114045618246,94.2428890609541
77,SINE,428771,177.8309797071164,85.43409894396373
78,DNA,117375,227.7241746538871,63.12061400096437
78,LINE,314353,231.78853709046837,85.1298974686871
78,LTR,139626,205.80840244653575,71.69304510291886
78,RC,486,274.46090534979425,40.70436314975651
78,Retroposon,1597,166.20976831559173,96.82976924818966
78,SINE,430091,178.03073070582738,85.45171982644642
79,DNA,118376,228.01338953841994,62.5800687212969
79,LINE,313780,231.95289056026516,85.01994568688124
79,LTR,138530,205.85148343319136,71.50678894300958
79,RC,462,276.4307359307359,41.72574038026068
79,Retroposon,1724,166.580626450116,97.40358369456904
79,SINE,430665,177.6866543601175,85.21561853722989
80,DNA,117741,227.80804477624616,63.00018628565699
80,LINE,314212,231.24055414815476,85.33204165490243
80,LTR,138721,205.36478254914542,71.54038933322786
80,RC,487,269.95071868583165,41.76296703174451
80,Retroposon,1689,163.22735346358792,95.12814172938997
80,SINE,430547,177.79277523708214,85.14574432581513
81,DNA,117782,228.0526905639232,62.94671353874776
81,LINE,315296,231.82611577692074,85.01369944478616
81,LTR,138659,206.18798635501483,71.70685178935172
81,RC,427,270.40046838407494,39.87799073398357
81,Retroposon,1639,163.34411226357534,96.95260889411294
81,SINE,431706,177.90069862360033,85.4891363228161
82,DNA,117303,228.2917487191291,62.834889378586716
82,LINE,313757,231.84171508524113,84.99143814923521
82,LTR,139044,206.1431848911136,71.46098884053166
82,RC,500,269.348,43.81158403892742
82,Retroposon,1673,162.72265391512252,97.01091967614578
82,SINE,429451,177.82257347171156,85.5134346495061
83,DNA,117838,228.29851151580985,62.711670557551514
83,LINE,313404,231.4538455156922,85.09242635291918
83,LTR,139348,205.63281137870655,71.58905745352192
83,RC,466,271.5815450643777,42.43079195310032
83,Retroposon,1693,164.43709391612524,99.91020348240164
83,SINE,429350,177.5662932339583,85.26640821205935
84,DNA,117510,227.97201940260405,63.03388911466097
84,LINE,312903,231.80312748679304,85.07419823602686
84,LTR,139332,206.21595900439237,71.64288246652764
84,RC,493,273.8235294117647,44.25868194034935
84,Retroposon,1665,162.4912912912913,96.6377531276664
84,SINE,429876,177.50914682373522,85.21642549786607
85,DNA,118735,228.5079378447804,63.043033231138644
85,LINE,312748,231.5200480898359,85.04028490045599
85,LTR,139580,205.57834933371544,71.47334661394962
85,RC,468,269.28205128205127,44.49091833841667
85,Retroposon,1606,163.98256537982564,97.39990075657894
85,SINE,428456,178.01214593797263,85.39917802373809
86,DNA,117559,228.09625804914978,62.97634824774768
86,LINE,313905,231.54084197448273,85.0108915379662
86,LTR,139523,205.7209635687306,71.49297220477973
86,RC,499,274.82765531062125,39.749445197391466
86,Retroposon,1751,163.175899486008,96.8453754223493
86,SINE,430410,177.51642619827606,85.21763961224326
87,DNA,117837,227.75436407919415,62.98573399859369
87,LINE,315178,231.93797790454917,85.04603758147606
87,LTR,139174,205.4855935735123,71.89587203401197
87,RC,520,274.78846153846155,39.11877207176072
87,Retroposon,1743,159.4750430292599,96.82162584579879
87,SINE,429027,177.72205945080378,85.19987310474822
88,DNA,117480,228.49284133469527,62.541373162037395
88,LINE,313980,231.22291228740684,85.16252800808482
88,LTR,138449,205.56823090090936,71.41390084594282
88,RC,469,271.57142857142856,45.44245540207796
