subfamily_name,subfamily_name,class_name,Observed_TEs_number,Total_TEs_number,Observed_Odds_Ratio,Enrichment_p_value,Enrichment_p_value_adjusted,Average_divergence_genes,Average_divergence_all,Observed_TEs_number_log,Total_TEs_number_log,Random_Odds_Ratio_Mean,Random_Odds_Ratio_SD,Random_Odds_Ratio_Quantile_Of_Observed,p_raw_empirical,p_raw_empirical_clamped,p_adjusted_empirical_bh
MER4D1,MER4D1,LTR,161,1100,1.7918758580604344,1.5191955449273716e-10,6.730389565317775e-10,129.29192546583852,130.98272727272726,2.2068258760318495,3.041392685158225,1.6797256050095735,0.21209533771140135,0.276,0.552,0.552,0.6648429926238146
MER4A,MER4A,LTR,127,684,2.3828470366398253,9.474574690950405e-16,5.553558395772468e-15,117.73228346456693,121.57748538011695,2.103803720955957,2.835056101720116,1.6813319378649108,0.28355921532616035,0.01,0.02,0.02,0.04508875739644974
MIRb,MIRb,SINE,33131,206087,2.002040632700369,0.0,0.0,282.24381998732304,289.9157443215729,4.520234544482251,5.314050597279791,1.5337016097283926,0.014945189281059366,0.0,0.0,0.003992015968063872,0.010707259953161602
MER31B,MER31B,LTR,157,1153,1.6473577879775425,3.744929356211937e-08,1.4173689583278954e-07,187.0891719745223,193.520381613183,2.1958996524092336,3.061829307294699,1.6132247425620425,0.20421870354524962,0.406,0.812,0.812,0.864972972972973
AluJb,AluJb,SINE,45199,251692,2.2877660105621196,0.0,0.0,170.50344034160048,176.1032571555711,4.655128826420096,5.400869411769775,1.5394969018427933,0.013315600944892272,0.0,0.0,0.003992015968063872,0.010707259953161602
AluSx3,AluSx3,SINE,3638,19746,2.360325724393465,0.0,0.0,109.14183617372183,113.68737972247544,3.5608626947274646,4.295479132678017,1.5314887106409716,0.04290437176767779,0.0,0.0,0.003992015968063872,0.010707259953161602
AluSx,AluSx,SINE,58886,301005,2.5420711058947845,0.0,0.0,115.54165676052033,120.18273450607133,4.770012054626552,5.478573709727977,1.536607213911256,0.013042501047912762,0.0,0.0,0.003992015968063872,0.010707259953161602
MER112,MER112,DNA,743,4054,2.3451889211791204,1.3125442830712354e-81,2.0836640493755862e-80,243.54912516823688,253.2427232363098,2.8709888137605755,3.60788374435699,1.5384601311408936,0.10292761506296765,0.0,0.0,0.003992015968063872,0.010707259953161602
Ricksha_0,Ricksha_0,DNA,22,246,1.026413095559502,0.9098769491860119,0.941166835221368,145.04545454545453,152.16260162601625,1.3424226808222062,2.3909351071033793,1.8269118629336167,0.49958949284810217,0.972,0.05600000000000005,0.05600000000000005,0.10848813559322044
MIR3,MIR3,SINE,15134,78717,2.4875663504971577,0.0,0.0,275.48962600766487,284.58489271694805,4.179953729631548,4.896068534251123,1.523317913391641,0.022275153331073775,0.0,0.0,0.003992015968063872,0.010707259953161602
MER46C,MER46C,DNA,385,2495,1.9068919584887545,2.9188789399199746e-27,2.5084801716755874e-26,249.13506493506495,253.13466933867736,2.5854607295085006,3.397070549959409,1.536931605394668,0.13165196392540035,0.002,0.004,0.004,0.010707259953161602
Charlie20a,Charlie20a,DNA,58,655,1.015315894063862,0.889906012381395,0.9246932474108496,253.68965517241378,275.26412213740457,1.7634279935629373,2.816241299991783,1.64676884220703,0.2648273114032605,0.998,0.0040000000000000036,0.0040000000000000036,0.010707259953161602
AluSg,AluSg,SINE,6595,34195,2.497235768482332,0.0,0.0,104.1005307050796,108.50615587074134,3.819214799882384,4.533962608069048,1.5322455199361262,0.035346113970869265,0.0,0.0,0.003992015968063872,0.010707259953161602
L1MD3,L1MD3,LINE,754,3849,2.5460031926034925,1.9611321419108927e-96,3.558054028895477e-95,192.02519893899205,198.6326318524292,2.877371345869774,3.585347911094591,3.023192154326538,0.19088743785317155,0.996,0.008000000000000007,0.008000000000000007,0.020052631578947388
L1ME1,L1ME1,LINE,2149,14169,1.8684482004574816,7.668435121869901e-136,1.6855810277494801e-134,217.80921358771522,223.53384148493188,3.3322364154914434,4.151339200296363,2.6881668866962336,0.08762783885458625,1.0,0.0,0.003992015968063872,0.010707259953161602
